sg_uf,ano_arrecadacao,mes_arrecadacao,co_tipo_arrecadacao,va_arrecadacao,DATA_BASE
AC,2018,9,134,6976987.79,2018-09-01 00:00:00
AC,2018,9,135,6121974.25,2018-09-01 00:00:00
AC,2018,9,139,51458056.42,2018-09-01 00:00:00
AC,2018,9,211,0,2018-09-01 00:00:00
AC,2018,9,212,5754462.78,2018-09-01 00:00:00
AC,2018,9,219,5754462.78,2018-09-01 00:00:00
AC,2018,9,221,18498927.02,2018-09-01 00:00:00
AC,2018,9,222,6324409.32,2018-09-01 00:00:00
AC,2018,9,229,24823336.34,2018-09-01 00:00:00
AC,2018,9,239,10418698.34,2018-09-01 00:00:00
AC,2018,9,249,0,2018-09-01 00:00:00
AC,2018,9,399,108081460.89,2018-09-01 00:00:00
AC,2018,9,409,5270704.51,2018-09-01 00:00:00
AC,2018,9,419,282335.23,2018-09-01 00:00:00
AC,2018,9,429,695172.99,2018-09-01 00:00:00
AC,2018,9,439,0,2018-09-01 00:00:00
AC,2018,9,499,6248212.73,2018-09-01 00:00:00
AC,2018,9,999,114329673.62,2018-09-01 00:00:00
AC,2019,1,119,111054.37,2019-01-01 00:00:00
AC,2019,1,129,12958699.78,2019-01-01 00:00:00
AC,2019,1,131,18741853.79,2019-01-01 00:00:00
AC,2019,1,132,24552013.07,2019-01-01 00:00:00
AC,2019,1,133,344466.64,2019-01-01 00:00:00
AC,2019,1,134,6844245.6,2019-01-01 00:00:00
AC,2019,1,135,6230445.26,2019-01-01 00:00:00
AC,2019,1,139,56713024.36,2019-01-01 00:00:00
AC,2019,1,211,0,2019-01-01 00:00:00
AC,2019,1,212,11110465.01,2019-01-01 00:00:00
AC,2019,1,219,11110465.01,2019-01-01 00:00:00
AC,2019,1,221,33482311.05,2019-01-01 00:00:00
AC,2019,1,222,4963708.38,2019-01-01 00:00:00
AC,2019,1,229,38446019.43,2019-01-01 00:00:00
AC,2019,1,239,821887.27,2019-01-01 00:00:00
AC,2019,1,249,0,2019-01-01 00:00:00
AC,2019,1,399,120161150.22,2019-01-01 00:00:00
AC,2019,1,409,5935593.94,2019-01-01 00:00:00
AC,2019,1,419,170951.31,2019-01-01 00:00:00
AC,2019,1,429,887340.75,2019-01-01 00:00:00
AC,2019,1,439,0,2019-01-01 00:00:00
AC,2019,1,499,6993886,2019-01-01 00:00:00
AC,2019,1,999,127155036.22,2019-01-01 00:00:00
AC,2019,10,119,34532.07,2019-10-01 00:00:00
AC,2019,10,129,29174685.88,2019-10-01 00:00:00
AC,2019,10,131,19444272.83,2019-10-01 00:00:00
AC,2019,10,132,20593694.36,2019-10-01 00:00:00
AC,2019,10,133,393157.66,2019-10-01 00:00:00
AC,2019,10,134,5875752.95,2019-10-01 00:00:00
AC,2019,10,135,7340488.09,2019-10-01 00:00:00
AC,2019,10,139,53647365.89,2019-10-01 00:00:00
AC,2019,10,211,0,2019-10-01 00:00:00
AC,2019,10,212,16423819.57,2019-10-01 00:00:00
AC,2019,10,219,16423819.57,2019-10-01 00:00:00
AC,2019,10,221,19319216.55,2019-10-01 00:00:00
AC,2019,10,222,4711891.78,2019-10-01 00:00:00
AC,2019,10,229,24031108.33,2019-10-01 00:00:00
AC,2019,10,239,1227110.51,2019-10-01 00:00:00
AC,2019,10,249,0,2019-10-01 00:00:00
AC,2019,10,399,124538622.25,2019-10-01 00:00:00
AC,2019,10,409,5348655.09,2019-10-01 00:00:00
AC,2019,10,419,249982.83,2019-10-01 00:00:00
AC,2019,10,429,870735.76,2019-10-01 00:00:00
AC,2019,10,439,0,2019-10-01 00:00:00
AC,2019,10,499,6469373.68,2019-10-01 00:00:00
AC,2019,10,999,131007995.93,2019-10-01 00:00:00
AC,2019,11,119,30773.77,2019-11-01 00:00:00
AC,2019,11,129,22959352.01,2019-11-01 00:00:00
AC,2019,11,131,19678940.71,2019-11-01 00:00:00
AC,2019,11,132,21186885.67,2019-11-01 00:00:00
AC,2019,11,133,278345.54,2019-11-01 00:00:00
AC,2019,11,134,6433332.6,2019-11-01 00:00:00
AC,2019,11,135,6069462.74,2019-11-01 00:00:00
AC,2019,11,139,53646967.26,2019-11-01 00:00:00
AC,2019,11,211,0,2019-11-01 00:00:00
AC,2019,11,212,14875876.57,2019-11-01 00:00:00
AC,2019,11,219,14875876.57,2019-11-01 00:00:00
AC,2019,11,221,19903752.46,2019-11-01 00:00:00
AC,2019,11,222,4926348.76,2019-11-01 00:00:00
AC,2019,11,229,24830101.22,2019-11-01 00:00:00
AC,2019,11,239,1148983.99,2019-11-01 00:00:00
AC,2019,11,249,0,2019-11-01 00:00:00
AC,2019,11,399,117492054.82,2019-11-01 00:00:00
AC,2019,11,409,3493083.94,2019-11-01 00:00:00
AC,2019,11,419,784308.01,2019-11-01 00:00:00
AC,2019,11,429,780199.37,2019-11-01 00:00:00
AC,2019,11,439,0,2019-11-01 00:00:00
AC,2019,11,499,5057591.32,2019-11-01 00:00:00
AC,2019,11,999,122549646.14,2019-11-01 00:00:00
AC,2019,12,119,157253.18,2019-12-01 00:00:00
AC,2019,12,129,17937762.59,2019-12-01 00:00:00
AC,2019,12,131,21315905.32,2019-12-01 00:00:00
AC,2019,12,132,28019315.82,2019-12-01 00:00:00
AC,2019,12,133,429029.25,2019-12-01 00:00:00
AC,2019,12,134,6383385.94,2019-12-01 00:00:00
AC,2019,12,135,6966822.24,2019-12-01 00:00:00
AC,2019,12,139,63114458.57,2019-12-01 00:00:00
AC,2019,12,211,0,2019-12-01 00:00:00
AC,2019,12,212,18864765.9,2019-12-01 00:00:00
AC,2019,12,219,18864765.9,2019-12-01 00:00:00
AC,2019,12,221,17333616.72,2019-12-01 00:00:00
AC,2019,12,222,5000572.72,2019-12-01 00:00:00
AC,2019,12,229,22334189.44,2019-12-01 00:00:00
AC,2019,12,239,5188907.68,2019-12-01 00:00:00
AC,2019,12,249,0,2019-12-01 00:00:00
AC,2019,12,399,127597337.36,2019-12-01 00:00:00
AC,2019,12,409,2441619.74,2019-12-01 00:00:00
AC,2019,12,419,163887.91,2019-12-01 00:00:00
AC,2019,12,429,1008552.58,2019-12-01 00:00:00
AC,2019,12,439,0,2019-12-01 00:00:00
AC,2019,12,499,3614060.23,2019-12-01 00:00:00
AC,2019,12,999,131211397.59,2019-12-01 00:00:00
AC,2019,2,119,69973.77,2019-02-01 00:00:00
AC,2019,2,129,12047325.35,2019-02-01 00:00:00
AC,2019,2,131,16040226.98,2019-02-01 00:00:00
AC,2019,2,132,17908263.18,2019-02-01 00:00:00
AC,2019,2,133,370650.92,2019-02-01 00:00:00
AC,2019,2,134,6817908.67,2019-02-01 00:00:00
AC,2019,2,135,5660646.29,2019-02-01 00:00:00
AC,2019,2,139,46797696.04,2019-02-01 00:00:00
AC,2019,2,211,0,2019-02-01 00:00:00
AC,2019,2,212,11310695.52,2019-02-01 00:00:00
AC,2019,2,219,11310695.52,2019-02-01 00:00:00
AC,2019,2,221,30209288.5,2019-02-01 00:00:00
AC,2019,2,222,6792158.73,2019-02-01 00:00:00
AC,2019,2,229,37001447.23,2019-02-01 00:00:00
AC,2019,2,239,4102731.75,2019-02-01 00:00:00
AC,2019,2,249,0,2019-02-01 00:00:00
AC,2019,2,399,111329869.66,2019-02-01 00:00:00
AC,2019,2,409,6837575.06,2019-02-01 00:00:00
AC,2019,2,419,457430.36,2019-02-01 00:00:00
AC,2019,2,429,800601.44,2019-02-01 00:00:00
AC,2019,2,439,0,2019-02-01 00:00:00
AC,2019,2,499,8095606.86,2019-02-01 00:00:00
AC,2019,2,999,119425476.52,2019-02-01 00:00:00
AC,2019,3,119,48256.68,2019-03-01 00:00:00
AC,2019,3,129,11446647.53,2019-03-01 00:00:00
AC,2019,3,131,16271664.49,2019-03-01 00:00:00
AC,2019,3,132,18312564.2,2019-03-01 00:00:00
AC,2019,3,133,277324.01,2019-03-01 00:00:00
AC,2019,3,134,6421886.28,2019-03-01 00:00:00
AC,2019,3,135,5485991.86,2019-03-01 00:00:00
AC,2019,3,139,46769430.84,2019-03-01 00:00:00
AC,2019,3,211,0,2019-03-01 00:00:00
AC,2019,3,212,11702424.38,2019-03-01 00:00:00
